chromosome	start	end	gene_chr	gene_start_pos	gene_end_pos	width	strand	gene_id	gene_name	gene_biotype
2	38590	3831532	2	72482	75177	2696	+	ENSBGRG00000002052	SRARP	protein_coding
2	38590	3831532	2	72482	75177	2696	+	ENSBGRG00000002052	SRARP	protein_coding
2	38590	3831532	2	72482	72557	76	+	ENSBGRG00000002052	SRARP	protein_coding
2	38590	3831532	2	74756	75177	422	+	ENSBGRG00000002052	SRARP	protein_coding
2	38590	3831532	2	88956	92522	3567	-	ENSBGRG00000002063	HSPB7	protein_coding
2	38590	3831532	2	88956	92522	3567	-	ENSBGRG00000002063	HSPB7	protein_coding
2	38590	3831532	2	91567	92522	956	-	ENSBGRG00000002063	HSPB7	protein_coding
2	38590	3831532	2	90924	91069	146	-	ENSBGRG00000002063	HSPB7	protein_coding
2	38590	3831532	2	88956	89135	180	-	ENSBGRG00000002063	HSPB7	protein_coding
2	38590	3831532	2	95972	111582	15611	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	95972	111582	15611	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	95972	96048	77	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	97642	97748	107	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	98335	98463	129	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	99181	99309	129	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	100097	100236	140	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	100519	100596	78	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	100690	100768	79	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	101521	101646	126	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	101952	102036	85	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	102113	102214	102	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	102806	102890	85	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	103330	103503	174	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	103935	104004	70	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	104169	104279	111	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	104634	104847	214	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	105705	105838	134	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	109069	109157	89	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	109863	109946	84	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	110665	110751	87	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	111123	111582	460	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	95972	109372	13401	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	95972	96048	77	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	97642	97748	107	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	98335	98463	129	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	99181	99309	129	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	100097	100236	140	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	100519	100596	78	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	100690	100768	79	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	101521	101646	126	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	101952	102036	85	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	102113	102214	102	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	102806	102890	85	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	103330	103503	174	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	103935	104004	70	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	104169	104279	111	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	104634	104847	214	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	105705	105838	134	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	109069	109157	89	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	109286	109372	87	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	98337	111582	13246	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	98337	98463	127	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	100097	100236	140	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	100519	100596	78	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	100690	100768	79	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	101521	101646	126	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	101952	102036	85	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	102113	102214	102	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	102806	102890	85	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	103330	103503	174	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	103935	104004	70	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	104169	104279	111	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	104634	104847	214	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	105705	105838	134	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	109069	109157	89	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	109863	109946	84	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	110665	110751	87	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	111123	111582	460	+	ENSBGRG00000002080	NA	protein_coding
2	38590	3831532	2	112430	138972	26543	-	ENSBGRG00000002187	FAM131C	protein_coding
2	38590	3831532	2	112430	138972	26543	-	ENSBGRG00000002187	FAM131C	protein_coding
2	38590	3831532	2	138510	138972	463	-	ENSBGRG00000002187	FAM131C	protein_coding
2	38590	3831532	2	119317	119420	104	-	ENSBGRG00000002187	FAM131C	protein_coding
2	38590	3831532	2	117906	117941	36	-	ENSBGRG00000002187	FAM131C	protein_coding
2	38590	3831532	2	117600	117693	94	-	ENSBGRG00000002187	FAM131C	protein_coding
2	38590	3831532	2	115277	115462	186	-	ENSBGRG00000002187	FAM131C	protein_coding
2	38590	3831532	2	114736	114846	111	-	ENSBGRG00000002187	FAM131C	protein_coding
2	38590	3831532	2	112430	113545	1116	-	ENSBGRG00000002187	FAM131C	protein_coding
2	38590	3831532	2	126408	126514	107	+	ENSBGRG00000002198	U6	snRNA
2	38590	3831532	2	126408	126514	107	+	ENSBGRG00000002198	U6	snRNA
2	38590	3831532	2	126408	126514	107	+	ENSBGRG00000002198	U6	snRNA
2	38590	3831532	2	127528	127632	105	+	ENSBGRG00000002203	U6	snRNA
2	38590	3831532	2	127528	127632	105	+	ENSBGRG00000002203	U6	snRNA
2	38590	3831532	2	127528	127632	105	+	ENSBGRG00000002203	U6	snRNA
2	38590	3831532	2	186011	221572	35562	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	186011	221572	35562	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	221488	221572	85	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	216653	216720	68	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	213434	214103	670	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	203377	203532	156	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	202961	203293	333	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	202142	202257	116	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	200954	201107	154	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	200437	200536	100	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	199124	199179	56	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	198832	198957	126	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	198555	198740	186	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	197786	197847	62	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	197382	197591	210	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	197095	197244	150	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	196281	196474	194	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	195578	195733	156	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	186011	187004	994	-	ENSBGRG00000002216	EPHA2	protein_coding
2	38590	3831532	2	259713	273561	13849	-	ENSBGRG00000002266	ARHGEF19	protein_coding
2	38590	3831532	2	259713	273561	13849	-	ENSBGRG00000002266	ARHGEF19	protein_coding
2	38590	3831532	2	273232	273561	330	-	ENSBGRG00000002266	ARHGEF19	protein_coding
2	38590	3831532	2	272374	272458	85	-	ENSBGRG00000002266	ARHGEF19	protein_coding
2	38590	3831532	2	271650	271937	288	-	ENSBGRG00000002266	ARHGEF19	protein_coding
2	38590	3831532	2	271410	271518	109	-	ENSBGRG00000002266	ARHGEF19	protein_coding
2	38590	3831532	2	271260	271336	77	-	ENSBGRG00000002266	ARHGEF19	protein_coding
2	38590	3831532	2	270708	270970	263	-	ENSBGRG00000002266	ARHGEF19	protein_coding
2	38590	3831532	2	270006	270166	161	-	ENSBGRG00000002266	ARHGEF19	protein_coding
2	38590	3831532	2	269739	269891	153	-	ENSBGRG00000002266	ARHGEF19	protein_coding
2	38590	3831532	2	269385	269514	130	-	ENSBGRG00000002266	ARHGEF19	protein_coding
2	38590	3831532	2	269170	269244	75	-	ENSBGRG00000002266	ARHGEF19	protein_coding
2	38590	3831532	2	268907	268996	90	-	ENSBGRG00000002266	ARHGEF19	protein_coding
2	38590	3831532	2	268597	268757	161	-	ENSBGRG00000002266	ARHGEF19	protein_coding
2	38590	3831532	2	263703	263861	159	-	ENSBGRG00000002266	ARHGEF19	protein_coding
2	38590	3831532	2	263321	263400	80	-	ENSBGRG00000002266	ARHGEF19	protein_coding
2	38590	3831532	2	260707	260811	105	-	ENSBGRG00000002266	ARHGEF19	protein_coding
2	38590	3831532	2	259713	260317	605	-	ENSBGRG00000002266	ARHGEF19	protein_coding
2	38590	3831532	2	300589	304127	3539	-	ENSBGRG00000002305	CPLANE2	protein_coding
2	38590	3831532	2	300589	304127	3539	-	ENSBGRG00000002305	CPLANE2	protein_coding
2	38590	3831532	2	304016	304127	112	-	ENSBGRG00000002305	CPLANE2	protein_coding
2	38590	3831532	2	302501	302653	153	-	ENSBGRG00000002305	CPLANE2	protein_coding
2	38590	3831532	2	301409	301533	125	-	ENSBGRG00000002305	CPLANE2	protein_coding
2	38590	3831532	2	301028	301164	137	-	ENSBGRG00000002305	CPLANE2	protein_coding
2	38590	3831532	2	300589	300798	210	-	ENSBGRG00000002305	CPLANE2	protein_coding
2	38590	3831532	2	319279	380876	61598	-	ENSBGRG00000002321	FBXO42	protein_coding
2	38590	3831532	2	319279	380876	61598	-	ENSBGRG00000002321	FBXO42	protein_coding
2	38590	3831532	2	380610	380876	267	-	ENSBGRG00000002321	FBXO42	protein_coding
2	38590	3831532	2	377983	378099	117	-	ENSBGRG00000002321	FBXO42	protein_coding
2	38590	3831532	2	367708	367842	135	-	ENSBGRG00000002321	FBXO42	protein_coding
2	38590	3831532	2	332720	332873	154	-	ENSBGRG00000002321	FBXO42	protein_coding
2	38590	3831532	2	330631	330741	111	-	ENSBGRG00000002321	FBXO42	protein_coding
2	38590	3831532	2	327700	327796	97	-	ENSBGRG00000002321	FBXO42	protein_coding
2	38590	3831532	2	326034	326090	57	-	ENSBGRG00000002321	FBXO42	protein_coding
