chromosome	start	end	gene_id	gene_name	gene_biotype
NC_037328.1	22834818	23381127	ABCC13	ABCC13	protein_coding
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	ABCC13	ABCC13	
NC_037328.1	22834818	23381127	RBM11	RBM11	protein_coding
NC_037328.1	22834818	23381127	RBM11	RBM11	
NC_037328.1	22834818	23381127	RBM11	RBM11	
NC_037328.1	22834818	23381127	RBM11	RBM11	
NC_037328.1	22834818	23381127	RBM11	RBM11	
NC_037328.1	22834818	23381127	RBM11	RBM11	
NC_037328.1	22834818	23381127	RBM11	RBM11	
NC_037328.1	22834818	23381127	RBM11	RBM11	
NC_037328.1	22834818	23381127	RBM11	RBM11	
NC_037328.1	22834818	23381127	RBM11	RBM11	
NC_037328.1	22834818	23381127	RBM11	RBM11	
NC_037328.1	22834818	23381127	RBM11	RBM11	
NC_037328.1	22834818	23381127	RBM11	RBM11	
NC_037328.1	22834818	23381127	RBM11	RBM11	
NC_037328.1	22834818	23381127	LIPI	LIPI	protein_coding
NC_037328.1	22834818	23381127	LIPI	LIPI	
NC_037328.1	22834818	23381127	LIPI	LIPI	
